P,T,h,s,k,mu,Cp,gam,rho,R,h_GASTAB,s_GASTAB,k_GASTAB,mu_GASTAB,Cp_GASTAB,gam_GASTAB,rho_GASTAB,R_GASTAB
10,400,1323.72,14.8697,2.35E-05,4.92E-06,3.3093,1.42426,0.00469601,0.985118,95.5366,-0.207344,3.20E-06,9.77E-06,0.239407,1.40122,0.0674781,0.0685592
10,600,2001.53,16.243,3.25E-05,6.47E-06,3.4415,1.40142,0.00313067,0.985118,143.474,-0.110182,4.62E-06,1.35E-05,0.24034,1.39904,0.0449854,0.0685592
10,800,2692.48,17.2374,3.96E-05,7.86E-06,3.46526,1.39758,0.002348,0.985118,191.813,-0.040665,5.92E-06,1.66E-05,0.243451,1.39194,0.0337391,0.0685592
10,1000,3385.7,18.0113,4.61E-05,9.16E-06,3.47183,1.39653,0.0018784,0.985118,240.985,0.0142012,7.09E-06,1.93E-05,0.248611,1.38071,0.0269912,0.0685592
10,1200,4080.77,18.6453,5.25E-05,1.04E-05,3.48512,1.39442,0.00156534,0.985118,291.314,0.0600439,8.12E-06,2.18E-05,0.254759,1.36814,0.0224927,0.0685592
30,400,1323.72,13.7867,2.35E-05,4.92E-06,3.3093,1.42426,0.014088,0.985118,95.5366,-0.282664,3.20E-06,9.77E-06,0.239407,1.40122,0.202434,0.0685592
30,600,2001.53,15.16,3.25E-05,6.47E-06,3.4415,1.40142,0.00939201,0.985118,143.474,-0.185502,4.62E-06,1.35E-05,0.24034,1.39904,0.134956,0.0685592
30,800,2692.48,16.1544,3.96E-05,7.86E-06,3.46526,1.39758,0.00704401,0.985118,191.813,-0.115985,5.92E-06,1.66E-05,0.243451,1.39194,0.101217,0.0685592
30,1000,3385.7,16.9283,4.61E-05,9.16E-06,3.47183,1.39653,0.00563521,0.985118,240.985,-0.0611187,7.09E-06,1.93E-05,0.248611,1.38071,0.0809737,0.0685592
30,1200,4080.77,17.5623,5.25E-05,1.04E-05,3.48512,1.39442,0.00469601,0.985118,291.314,-0.0152761,8.12E-06,2.18E-05,0.254759,1.36814,0.0674781,0.0685592
50,400,1323.72,13.2832,2.35E-05,4.92E-06,3.3093,1.42426,0.02348,0.985118,95.5366,-0.317686,3.20E-06,9.77E-06,0.239407,1.40122,0.337391,0.0685592
50,600,2001.53,14.6564,3.25E-05,6.47E-06,3.4415,1.40142,0.0156534,0.985118,143.474,-0.220524,4.62E-06,1.35E-05,0.24034,1.39904,0.224927,0.0685592
50,800,2692.48,15.6508,3.96E-05,7.86E-06,3.46526,1.39758,0.01174,0.985118,191.813,-0.151007,5.92E-06,1.66E-05,0.243451,1.39194,0.168695,0.0685592
50,1000,3385.7,16.4247,4.61E-05,9.16E-06,3.47183,1.39653,0.00939201,0.985118,240.985,-0.0961405,7.09E-06,1.93E-05,0.248611,1.38071,0.134956,0.0685592
50,1200,4080.77,17.0588,5.25E-05,1.04E-05,3.48512,1.39442,0.00782668,0.985118,291.314,-0.0502978,8.12E-06,2.18E-05,0.254759,1.36814,0.112464,0.0685592
70,400,1323.72,12.9515,2.35E-05,4.92E-06,3.3093,1.42426,0.032872,0.985118,95.5366,-0.340754,3.20E-06,9.77E-06,0.239407,1.40122,0.472347,0.0685592
70,600,2001.53,14.3248,3.25E-05,6.47E-06,3.4415,1.40142,0.0219147,0.985118,143.474,-0.243592,4.62E-06,1.35E-05,0.24034,1.39904,0.314898,0.0685592
70,800,2692.48,15.3191,3.96E-05,7.86E-06,3.46526,1.39758,0.016436,0.985118,191.813,-0.174075,5.92E-06,1.66E-05,0.243451,1.39194,0.236173,0.0685592
70,1000,3385.7,16.0931,4.61E-05,9.16E-06,3.47183,1.39653,0.0131488,0.985118,240.985,-0.119209,7.09E-06,1.93E-05,0.248611,1.38071,0.188939,0.0685592
70,1200,4080.77,16.7271,5.25E-05,1.04E-05,3.48512,1.39442,0.0109573,0.985118,291.314,-0.0733661,8.12E-06,2.18E-05,0.254759,1.36814,0.157449,0.0685592
90,400,1323.72,12.7037,2.35E-05,4.92E-06,3.3093,1.42426,0.042264,0.985118,95.5366,-0.357984,3.20E-06,9.77E-06,0.239407,1.40122,0.607303,0.0685592
